dataset,fold,config,n_classes,cal_size,test_size,base_logloss,base_brier,base_accuracy,base_ece-15,guo_ts_logloss,guo_ts_brier,guo_ts_accuracy,guo_ts_ece-15,guo_ts_time,prob_ts_logloss,prob_ts_brier,prob_ts_accuracy,prob_ts_ece-15,prob_ts_time,torch_ts_logloss,torch_ts_brier,torch_ts_accuracy,torch_ts_ece-15,torch_ts_time,svs_logloss,svs_brier,svs_accuracy,svs_ece-15,svs_time,torch_vs_logloss,torch_vs_brier,torch_vs_accuracy,torch_vs_ece-15,torch_vs_time,sms_logloss,sms_brier,sms_accuracy,sms_ece-15,sms_time,torch_ms_logloss,torch_ms_brier,torch_ms_accuracy,torch_ms_ece-15,torch_ms_time,dir_ms_logloss,dir_ms_brier,dir_ms_accuracy,dir_ms_ece-15,dir_ms_time
volcanoes-e1,0,LightGBM_r139_BAG_L1,5,1064,119,0.38107267022132874,0.16017016768455505,0.9075630307197571,0.041353896260261536,0.37500250339508057,0.15875442326068878,0.9075630307197571,0.050947681069374084,0.01397437500054366,0.3812960982322693,0.1601972132921219,0.9075630307197571,0.04113544523715973,0.001641375001781853,0.38150760531425476,0.16024139523506165,0.9075630307197571,0.04046805202960968,0.0015687499999330612,0.38309863942972083,0.1601378291321079,0.9075630307197571,0.04705188423395157,0.009112499999901047,0.38320326805114746,0.16025345027446747,0.9075630307197571,0.04159671068191528,0.0067140000010113,0.37391594192393623,0.1589169186743237,0.9075630307197571,0.04229683801531792,0.01426283299952047,0.37059569358825684,0.15866732597351074,0.9075630307197571,0.04269358888268471,0.02318554200064682,0.36826846357730625,0.15815333737860757,0.9075630307197571,0.04791218787431717,0.16252016599901253
volcanoes-e1,0,LinearModel_r30_BAG_L1,5,1064,119,0.3930416703224182,0.1691414713859558,0.8991596698760986,0.04766642302274704,0.38431331515312195,0.1664617955684662,0.8991596698760986,0.042270950973033905,0.013142792000508052,0.3905718922615051,0.16866019368171692,0.8991596698760986,0.044188037514686584,0.0013540419986384222,0.3907083570957184,0.16870906949043274,0.8991596698760986,0.04485150799155235,0.0012268749997019768,0.3893077706044063,0.16759363322667648,0.8991596698760986,0.05137453228235245,0.007564250001451001,0.3905741572380066,0.16726912558078766,0.8991596698760986,0.05135224014520645,0.007327749999603839,0.3801665885455317,0.16559883467012088,0.9075630307197571,0.05135830491781235,0.015229624999847147,0.3872040808200836,0.16473373770713806,0.9075630307197571,0.05764647573232651,0.026650458999938564,0.3736097663178256,0.1638552457634626,0.9075630307197571,0.05150524526834488,0.13027441700069176
volcanoes-e1,0,NeuralNetTorch_r142_BAG_L1,5,1064,119,0.37382134795188904,0.1583690047264099,0.9075630307197571,0.03764289245009422,0.3753647804260254,0.15807926654815674,0.9075630307197571,0.04175969958305359,0.013510167000276851,0.3790949285030365,0.15947486460208893,0.9075630307197571,0.04738815128803253,0.0013161660008336185,0.3796534240245819,0.15951868891716003,0.9075630307197571,0.048050008714199066,0.0017319170001428574,0.3792491976732482,0.15968153839948007,0.9075630307197571,0.04324532300233841,0.004265167000994552,0.3823101818561554,0.16062051057815552,0.9075630307197571,0.04873266816139221,0.006090958000640967,0.3750106056823979,0.15894981604222405,0.9075630307197571,0.04446502774953842,0.01810745799957658,0.375365287065506,0.15955032408237457,0.9075630307197571,0.043282121419906616,0.02081345899932785,0.37060651340162587,0.15861380831459246,0.9075630307197571,0.04245855286717415,0.1518678339998587
volcanoes-e1,0,RandomForest_r111_BAG_L1,5,1064,119,0.3929263949394226,0.16308781504631042,0.9075630307197571,0.04365185275673866,0.38700607419013977,0.16217420995235443,0.9075630307197571,0.03893310949206352,0.01348179100023117,0.39234885573387146,0.1630471795797348,0.9075630307197571,0.04300077632069588,0.0014098329993430525,0.3929290175437927,0.16308820247650146,0.9075630307197571,0.04365570843219757,0.0013142500010872027,0.39392496564964835,0.16322523500217767,0.9075630307197571,0.04418225586414337,0.009923499999786145,0.39555490016937256,0.16470927000045776,0.9075630307197571,0.04759272187948227,0.008947250000346685,0.38172556795436097,0.16185434589383907,0.9075630307197571,0.044378869235515594,0.017141750000519096,0.3895934224128723,0.16325044631958008,0.9075630307197571,0.04544452577829361,0.027458000000478933,0.3789199614223724,0.16175676740329667,0.9075630307197571,0.04302544519305229,0.21263412500047707
volcanoes-e1,0,XGBoost_r74_BAG_L1,5,1064,119,0.38166600465774536,0.159083291888237,0.9075630307197571,0.03303806111216545,0.38328438997268677,0.15875694155693054,0.9075630307197571,0.047097813338041306,0.013283583999509574,0.3833259642124176,0.15941298007965088,0.9075630307197571,0.03633897751569748,0.0013626250001834705,0.3835528790950775,0.1594523787498474,0.9075630307197571,0.03701304644346237,0.001436124999599997,0.3798602149575234,0.15951193707349093,0.9075630307197571,0.036007851362228394,0.0026709169997047866,0.38072994351387024,0.15932293236255646,0.9075630307197571,0.051572006195783615,0.007380499999271706,0.3701053301721706,0.1582012246939401,0.9075630307197571,0.03737470880150795,0.010952874999929918,0.3793215751647949,0.15917940437793732,0.9075630307197571,0.038889508694410324,0.0264365410002938,0.3677207861764662,0.15767105272903842,0.9075630307197571,0.038341984152793884,0.15897437500098022
volcanoes-e1,0,NeuralNetFastAI_r59_BAG_L1,5,1064,119,0.376056969165802,0.15770232677459717,0.9075630307197571,0.06531283259391785,0.36698538064956665,0.15549445152282715,0.9075630307197571,0.05066043883562088,0.012973042001249269,0.37438642978668213,0.15746977925300598,0.9075630307197571,0.06168482452630997,0.0013523339985113125,0.37495213747024536,0.15751589834690094,0.9075630307197571,0.06225624680519104,0.0014724159991601482,0.3752079138635204,0.1576296148023057,0.9075630307197571,0.06481755524873734,0.006673207999483566,0.37600797414779663,0.15785367786884308,0.9075630307197571,0.06267769634723663,0.005708374999812804,0.3699846819707719,0.15693744826296727,0.9075630307197571,0.06733796745538712,0.01861008400010178,0.3532825708389282,0.15543943643569946,0.9075630307197571,0.06822940707206726,0.025655624998762505,0.35776370684910264,0.15552216638698785,0.9075630307197571,0.04447987303137779,0.12767950000124983
volcanoes-e1,1,CatBoost_r21_BAG_L1,5,1064,119,0.3875472843647003,0.15637215971946716,0.9075630307197571,0.027900291606783867,0.3840620517730713,0.1573653519153595,0.9075630307197571,0.04248528927564621,0.0133399170008488,0.3880603015422821,0.15645144879817963,0.9075630307197571,0.029026666656136513,0.0013539999999920838,0.38903123140335083,0.15648455917835236,0.9075630307197571,0.03638902306556702,0.0012273749998712447,0.3863966542759839,0.15605518173329086,0.9075630307197571,0.03859635442495346,0.005190083000343293,0.38773396611213684,0.15660998225212097,0.9075630307197571,0.048013605177402496,0.006162749999930384,0.3821676975557463,0.15530304501224623,0.9075630307197571,0.04031475633382797,0.01316012499955832,0.4010564982891083,0.1610209196805954,0.9075630307197571,0.0496571809053421,0.02531604100113327,0.3842043030038901,0.15634641972850777,0.9075630307197571,0.0545937642455101,0.15440687499904016
volcanoes-e1,1,LightGBM_r75_BAG_L1,5,1064,119,0.3694029450416565,0.14709094166755676,0.9159663915634155,0.0437937006354332,0.3694964349269867,0.15045394003391266,0.9159663915634155,0.06846952438354492,0.013927999998486484,0.3687778115272522,0.1470670849084854,0.9159663915634155,0.0434173047542572,0.0013449999987642514,0.3695647418498993,0.14708355069160461,0.9159663915634155,0.0439225509762764,0.0009835830005613388,0.37540332442505125,0.14820921346528043,0.9159663915634155,0.043875452131032944,0.011076457998569822,0.37652984261512756,0.1498715728521347,0.9075630307197571,0.038713157176971436,0.007484624999051448,0.37108677273033164,0.1473706291491215,0.9159663915634155,0.04264090955257416,0.01450499999918975,0.3795810341835022,0.1472729742527008,0.9075630307197571,0.04389665275812149,0.029355000000578002,0.36911314498269826,0.1472317638358688,0.9075630307197571,0.052734170109033585,0.15133179199983715
volcanoes-e1,1,LinearModel_r30_BAG_L1,5,1064,119,0.35637935996055603,0.15185025334358215,0.9075630307197571,0.0685281977057457,0.36056673526763916,0.15426000952720642,0.9075630307197571,0.06833330541849136,0.013205375000325148,0.3551817834377289,0.15180730819702148,0.9075630307197571,0.06679733842611313,0.0013329160010471242,0.35548919439315796,0.15182308852672577,0.9075630307197571,0.06730096787214279,0.0012559160004457226,0.3538555379355379,0.15032082990828097,0.9075630307197571,0.05269305780529976,0.007806458001141436,0.35963988304138184,0.14980274438858032,0.9159663915634155,0.0535215400159359,0.007763916999465437,0.3521312995180568,0.14920069424121518,0.9159663915634155,0.05315748602151871,0.0164646659995924,0.39515697956085205,0.15116125345230103,0.9159663915634155,0.05633627995848656,0.026953999999022926,0.3592103139381463,0.14998336321854147,0.9159663915634155,0.05225326865911484,0.12493812499997148
volcanoes-e1,1,NeuralNetTorch_r142_BAG_L1,5,1064,119,0.3596675992012024,0.1465476155281067,0.9159663915634155,0.05523043870925903,0.36623716354370117,0.1494341343641281,0.9159663915634155,0.06491231173276901,0.013117124999553198,0.36280784010887146,0.1463559865951538,0.9159663915634155,0.045798420906066895,0.001466833999074879,0.363552063703537,0.1463804543018341,0.9159663915634155,0.04630598425865173,0.0017578330007381737,0.36487784851865995,0.14775566953240718,0.9159663915634155,0.05206209793686867,0.01202250000096683,0.3716112971305847,0.14807727932929993,0.9159663915634155,0.05270048603415489,0.005642416999762645,0.3646471931301489,0.1480002255707437,0.9159663915634155,0.04174457862973213,0.017385458000717335,0.3783290386199951,0.15243852138519287,0.9075630307197571,0.060946252197027206,0.02122441599931335,0.3662563929200753,0.14929600865819026,0.9159663915634155,0.04669348895549774,0.15122654200058605
volcanoes-e1,1,RandomForest_r106_BAG_L1,5,1064,119,0.36504533886909485,0.14948183298110962,0.9159663915634155,0.041066862642765045,0.3730091154575348,0.1530708521604538,0.9159663915634155,0.05067630484700203,0.013199625000197557,0.3658406734466553,0.14941830933094025,0.9159663915634155,0.04405960440635681,0.0014297080015239771,0.3660602867603302,0.14943119883537292,0.9159663915634155,0.044514935463666916,0.0013647089999722084,0.3735745288302767,0.1500826973970405,0.9159663915634155,0.04036834090948105,0.011343333999320748,0.37704238295555115,0.15348835289478302,0.9159663915634155,0.060233887284994125,0.010369499999796972,0.3697162564320999,0.1502277817847349,0.9159663915634155,0.03484588488936424,0.014644249999037129,0.4070642292499542,0.1532364785671234,0.9159663915634155,0.0628121867775917,0.025341292001030524,0.3741240848571838,0.15213309963010513,0.9159663915634155,0.05966518074274063,0.20808974999999919
volcanoes-e1,1,XGBoost_r125_BAG_L1,5,1064,119,0.3775678873062134,0.15364204347133636,0.9075630307197571,0.03165706992149353,0.3864532709121704,0.1574670523405075,0.9075630307197571,0.07024608552455902,0.013262833001135732,0.3781908452510834,0.15354706346988678,0.9075630307197571,0.051191721111536026,0.0013382920005824417,0.3784525990486145,0.1535562127828598,0.9075630307197571,0.05166814103722572,0.0012292499995965045,0.375536162588232,0.15408338150537756,0.9075630307197571,0.04714750126004219,0.003074999998716521,0.3734441101551056,0.15641388297080994,0.9075630307197571,0.042021945118904114,0.005819083000460523,0.37012789651971656,0.15470229608616523,0.9075630307197571,0.05637633800506592,0.011715874999936204,0.38210606575012207,0.1585332304239273,0.9075630307197571,0.06141107529401779,0.033863082999232574,0.374258954890126,0.1576227018992544,0.9075630307197571,0.058551982045173645,0.1547115000012127
volcanoes-e1,1,NeuralNetFastAI_r119_BAG_L1,5,1064,119,0.36041489243507385,0.1487291306257248,0.9075630307197571,0.04107239842414856,0.36059805750846863,0.15049022436141968,0.9075630307197571,0.0491548515856266,0.013402791999396868,0.3605489730834961,0.1487305611371994,0.9075630307197571,0.04123155027627945,0.0013744580010097707,0.3610616624355316,0.14875727891921997,0.9075630307197571,0.04184051230549812,0.0014308330009953352,0.3624235899151882,0.1490621354794023,0.9075630307197571,0.04188363254070282,0.0053367079999588896,0.36526158452033997,0.14933408796787262,0.9075630307197571,0.0417039580643177,0.0052286670015746495,0.361309972913026,0.1488703267316752,0.9075630307197571,0.03573140501976013,0.018071958000291488,0.38953155279159546,0.15170548856258392,0.9075630307197571,0.04487235099077225,0.0277594159997534,0.369880167382751,0.15016762720511237,0.9075630307197571,0.04169044643640518,0.163661750000756
