,model,dataset,fold,default_config,tuned_config
105,CatBoost,Click_prediction_small,0,CatBoost_c1_BAG_L1,CatBoost_r101_BAG_L1
106,LightGBM,Click_prediction_small,0,LightGBM_c1_BAG_L1,LightGBM_r188_BAG_L1
107,LinearModel,Click_prediction_small,0,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
108,NeuralNetTorch,Click_prediction_small,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r156_BAG_L1
109,RandomForest,Click_prediction_small,0,RandomForest_c1_BAG_L1,RandomForest_r123_BAG_L1
110,XGBoost,Click_prediction_small,0,XGBoost_c1_BAG_L1,XGBoost_r20_BAG_L1
111,NeuralNetFastAI,Click_prediction_small,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r14_BAG_L1
112,CatBoost,Click_prediction_small,1,CatBoost_c1_BAG_L1,CatBoost_r7_BAG_L1
113,LightGBM,Click_prediction_small,1,LightGBM_c1_BAG_L1,LightGBM_r36_BAG_L1
114,LinearModel,Click_prediction_small,1,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
115,NeuralNetTorch,Click_prediction_small,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r123_BAG_L1
116,RandomForest,Click_prediction_small,1,RandomForest_c1_BAG_L1,RandomForest_r123_BAG_L1
117,XGBoost,Click_prediction_small,1,XGBoost_c1_BAG_L1,XGBoost_r134_BAG_L1
118,NeuralNetFastAI,Click_prediction_small,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r14_BAG_L1
119,CatBoost,Click_prediction_small,2,CatBoost_c1_BAG_L1,CatBoost_r24_BAG_L1
120,LightGBM,Click_prediction_small,2,LightGBM_c1_BAG_L1,LightGBM_r27_BAG_L1
121,LinearModel,Click_prediction_small,2,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
122,NeuralNetTorch,Click_prediction_small,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r123_BAG_L1
123,RandomForest,Click_prediction_small,2,RandomForest_c1_BAG_L1,RandomForest_r123_BAG_L1
124,XGBoost,Click_prediction_small,2,XGBoost_c1_BAG_L1,XGBoost_r134_BAG_L1
125,NeuralNetFastAI,Click_prediction_small,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r14_BAG_L1
