dataset,fold,config,cal_size,test_size,base_logloss,base_brier,base_accuracy,base_ece-15,iso_logloss,iso_brier,iso_accuracy,iso_ece-15,iso_time,guo_ts_logloss,guo_ts_brier,guo_ts_accuracy,guo_ts_ece-15,guo_ts_time,prob_ts_logloss,prob_ts_brier,prob_ts_accuracy,prob_ts_ece-15,prob_ts_time,ts_logloss,ts_brier,ts_accuracy,ts_ece-15,ts_time,as_logloss,as_brier,as_accuracy,as_ece-15,as_time,qs_logloss,qs_brier,qs_accuracy,qs_ece-15,qs_time
pm10,1,NeuralNetTorch_r185_BAG_L1,450,50,0.8216874599456787,0.6070953607559204,0.5,0.20954594016075134,0.7325782397005456,0.536232790584031,0.5400000214576721,0.1369563639163971,0.0006131660047685727,0.7472040057182312,0.5502995848655701,0.5,0.1858094185590744,0.019804374998784624,0.7305793762207031,0.5357063412666321,0.5,0.14657559990882874,0.001939417008543387,0.7307374762486609,0.5358486373708012,0.5,0.14676712453365326,0.0005578749987762421,0.7309360820055566,0.5360188164168076,0.5,0.18399769067764282,0.001388582997606136,0.7330763881682358,0.5379743217495228,0.5,0.13256306946277618,0.0017733330023474991
pm10,1,RandomForest_r109_BAG_L1,450,50,0.7588765621185303,0.5511893630027771,0.4399999976158142,0.2242666482925415,2.46955713372217,0.5713029349946016,0.5199999809265137,0.22523528337478638,0.0005784590030089021,0.7256709337234497,0.5281050205230713,0.4399999976158142,0.1553158313035965,0.011074125010054559,0.7596580982208252,0.5517321825027466,0.4399999976158142,0.22485759854316711,0.0019437080045463517,0.7600674850685509,0.5519516937257637,0.4399999976158142,0.2250456064939499,0.00044879200868308544,0.7615706791643808,0.5531851136186414,0.46000000834465027,0.2100941687822342,0.0005359999922802672,0.7644079122930664,0.5521203296777449,0.4399999976158142,0.20086778700351715,0.0013845829962519929
pm10,1,XGBoost_r3_BAG_L1,450,50,0.7223773002624512,0.5270187258720398,0.46000000834465027,0.11486590653657913,0.7943835629270776,0.5846721724139453,0.46000000834465027,0.20074287056922913,0.0006403330044122413,0.7066456079483032,0.5130018591880798,0.46000000834465027,0.10520634055137634,0.010905041999649256,0.7354076504707336,0.5378257632255554,0.46000000834465027,0.19648849964141846,0.0019145420083077624,0.7356150201177971,0.5379897596833554,0.46000000834465027,0.19661171734333038,0.0004607090086210519,0.7356805587155312,0.5380583073860905,0.46000000834465027,0.1968013346195221,0.0013105830003041774,0.7350537498135045,0.5372947064525462,0.46000000834465027,0.19553643465042114,0.0012780000106431544
pm10,1,NeuralNetFastAI_r189_BAG_L1,450,50,0.7352884411811829,0.5394109487533569,0.5600000023841858,0.1640596091747284,0.7622881102246585,0.5640876414196996,0.46000000834465027,0.15896423161029816,0.0005846659914823249,0.7141957879066467,0.5205069780349731,0.5600000023841858,0.08227672427892685,0.01118562500050757,0.7191900014877319,0.5251389145851135,0.5600000023841858,0.10904881358146667,0.00200266700994689,0.7193098749785188,0.5252489381501462,0.5600000023841858,0.10922382771968842,0.0004540000081760809,0.7192880018213098,0.5252226367082777,0.5600000023841858,0.12039866298437119,0.0013917920005042106,0.721228778947978,0.5270714448782948,0.5600000023841858,0.1031896322965622,0.0017816670006141067
pm10,2,CatBoost_r159_BAG_L1,450,50,0.6802855730056763,0.4864997863769531,0.5400000214576721,0.1294371485710144,0.679349118614962,0.48503477685766155,0.5400000214576721,0.1649230271577835,0.0005897079972783104,0.6765270829200745,0.48336341977119446,0.5400000214576721,0.14644233882427216,0.01931233299546875,0.6773090958595276,0.48401591181755066,0.5400000214576721,0.15880632400512695,0.001935624997713603,0.677336751177301,0.48403831557218896,0.5400000214576721,0.15875817835330963,0.0006182919896673411,0.6772579091896498,0.4839625265305974,0.5600000023841858,0.14007464051246643,0.0011852910101879388,0.6774466153332028,0.4844419951253027,0.5199999809265137,0.17553067207336426,0.004215749999275431
pm10,2,LightGBM_r1_BAG_L1,450,50,0.6889879107475281,0.49444836378097534,0.5600000023841858,0.1755070686340332,0.7120953990684812,0.5156330556317836,0.5400000214576721,0.08376197516918182,0.0005827919958392158,0.6838924288749695,0.4904591739177704,0.5600000023841858,0.07029896974563599,0.011094665998825803,0.6881108283996582,0.4937606453895569,0.5600000023841858,0.17638474702835083,0.001999792002607137,0.6881664027160348,0.49380400654318174,0.5600000023841858,0.17633408308029175,0.0005095829983474687,0.6887760062385192,0.49450032339319194,0.5600000023841858,0.1315031796693802,0.0012557500012917444,0.6887096610212973,0.4944204944990207,0.5600000023841858,0.13130012154579163,0.0015898330020718277
pm10,2,LinearModel_r4_BAG_L1,450,50,0.7042674422264099,0.5111669301986694,0.5,0.1548188328742981,0.6950572400805498,0.5018753607159779,0.5799999833106995,0.01654055155813694,0.000643167004454881,0.6989514827728271,0.5058403611183167,0.5,0.09675189107656479,0.010687792004318908,0.6931471824645996,0.5,0.46000000834465027,0.019999980926513672,0.0019973330054199323,0.6927056334977596,0.4995405586390692,0.5,0.025079725310206413,0.0004567080031847581,0.6921750426007036,0.4990151587402125,0.6200000047683716,0.02051803097128868,0.0011583750019781291,0.6982594768008249,0.5046097620179928,0.5400000214576721,0.0217428058385849,0.001767624999047257
pm10,2,NeuralNetTorch_r30_BAG_L1,450,50,0.6770203113555908,0.4849053919315338,0.5799999833106995,0.08057262748479843,0.6775778109723462,0.4858540489853203,0.6000000238418579,0.09256239235401154,0.0005500419938471168,0.6760420203208923,0.4834473431110382,0.5799999833106995,0.06254543364048004,0.029957749997265637,0.6757082939147949,0.4832842946052551,0.5799999833106995,0.1278613954782486,0.0020032920001540333,0.6757049083641136,0.48328465349037336,0.5799999833106995,0.12783269584178925,0.00046945900248829275,0.6756719473083279,0.48324785013115673,0.6000000238418579,0.12768062949180603,0.0012267920101294294,0.6770061851706884,0.4844889947988266,0.5600000023841858,0.13847027719020844,0.0015615830052411184
pm10,2,RandomForest_r114_BAG_L1,450,50,0.7160704135894775,0.5002803206443787,0.5799999833106995,0.1915946900844574,2.434308644800735,0.5223743731127478,0.5799999833106995,0.1896255612373352,0.0005777500045951456,0.7013983726501465,0.4950146973133087,0.5799999833106995,0.15390393137931824,0.03957083300338127,0.7091798186302185,0.49783608317375183,0.5799999833106995,0.1716298907995224,0.0019429160020081326,0.7095399305718795,0.4979440480314591,0.5799999833106995,0.17172671854496002,0.000539708009455353,0.709665301300877,0.4980689238647665,0.5799999833106995,0.1649007499217987,0.001203082996653393,0.7073770644656682,0.49899050083253416,0.5799999833106995,0.1675548553466797,0.0014204579929355532
pm10,2,XGBoost_r40_BAG_L1,450,50,0.6905545592308044,0.4927404820919037,0.6200000047683716,0.13057714700698853,0.7052343573886597,0.5083664847950429,0.5799999833106995,0.1011045053601265,0.0005590000073425472,0.6805533766746521,0.48573198914527893,0.6200000047683716,0.2117929309606552,0.02194762500585057,0.6839632391929626,0.48816463351249695,0.6200000047683716,0.15962223708629608,0.0019372079987078905,0.6840689554596612,0.48823812034501757,0.6200000047683716,0.1828845888376236,0.0004868749965680763,0.6843742246131609,0.4886411323062002,0.6200000047683716,0.13320957124233246,0.0014206250052666292,0.6857384594351211,0.48983936706345577,0.6200000047683716,0.1663026213645935,0.0017789580015232787
pm10,2,NeuralNetFastAI_r94_BAG_L1,450,50,0.7173831462860107,0.5199039578437805,0.5600000023841858,0.13930393755435944,0.7218619059044358,0.5233920771638723,0.5799999833106995,0.14938649535179138,0.0007260420097736642,0.7047191858291626,0.5099529027938843,0.5600000023841858,0.1687614619731903,0.019670583991683088,0.7085025906562805,0.5130258202552795,0.5600000023841858,0.12313075363636017,0.001980665998416953,0.7086116905590056,0.5131129678463104,0.5600000023841858,0.12318383902311325,0.0004750829975819215,0.7087312336398814,0.5132380972844253,0.6000000238418579,0.11094803363084793,0.0012361669942038134,0.7090058737372678,0.513388788573468,0.6000000238418579,0.11409652233123779,0.0016035000007832423
pollen,0,CatBoost_r150_BAG_L1,3463,385,0.6929804086685181,0.49983471632003784,0.4961038827896118,0.005294066853821278,0.694526008842899,0.5013694442453224,0.4987013041973114,0.0077270022593438625,0.0009514160046819597,0.6928848624229431,0.49973851442337036,0.4961038827896118,0.012479347176849842,0.0008309580007335171,0.6929355263710022,0.4997897148132324,0.4961038827896118,0.00586733128875494,0.004258125001797453,0.6929365320530084,0.49979069650197766,0.4961038827896118,0.00585839431732893,0.0006204579985933378,0.6929370884266932,0.49979128026813474,0.4987013041973114,0.005926619749516249,0.0021857079991605133,0.6929401099607417,0.49979425842547104,0.501298725605011,0.0060328408144414425,0.008249624996096827
pollen,0,LightGBM_r145_BAG_L1,3463,385,0.6948459148406982,0.5016839504241943,0.5376623272895813,0.015868689864873886,0.6953388948042328,0.5020920856257797,0.5220779180526733,0.02248520404100418,0.0010185410064877942,0.6939559578895569,0.5008059144020081,0.5376623272895813,0.010662861168384552,0.0007704160088906065,0.6942099928855896,0.5010575652122498,0.5376623272895813,0.006956073455512524,0.004191624990198761,0.6942340926380238,0.501081414830124,0.5376623272895813,0.006929674185812473,0.0005936669913353398,0.694236460065036,0.50108383485201,0.5402597188949585,0.007244327571243048,0.0022322919976431876,0.6942306185387773,0.5010762723242447,0.5220779180526733,0.011524315923452377,0.006780666997656226
pollen,0,LinearModel_r30_BAG_L1,3463,385,0.6942801475524902,0.5011317729949951,0.4935064911842346,0.006951097398996353,0.6939539828596418,0.500801948305244,0.4935064911842346,0.0059402016922831535,0.0009921250020852312,0.6938099265098572,0.5006624460220337,0.4935064911842346,0.0010325610637664795,0.0006817920075263828,0.6931472420692444,0.5,0.501298725605011,0.0012986958026885986,0.004091791997780092,0.6928666358863987,0.4997195395252829,0.5064935088157654,0.0015394678339362144,0.0005742920038755983,0.6928676747858744,0.49972057910278944,0.5090909004211426,0.0016792078968137503,0.0023261250025825575,0.6934562160577978,0.5003019748960215,0.5350649356842041,0.014488177374005318,0.0053135840134928
pollen,0,NeuralNetTorch_r127_BAG_L1,3463,385,0.6932274699211121,0.5000780820846558,0.5090909004211426,0.006075101904571056,0.6952553061784078,0.5020996724341523,0.4987013041973114,0.029531456530094147,0.0009622079960536212,0.6930637359619141,0.4999159872531891,0.5090909004211426,0.003621127689257264,0.0006909170042490587,0.6930607557296753,0.49991312623023987,0.5090909004211426,0.0035459063947200775,0.00463841600867454,0.6930621717922509,0.49991448838050434,0.5090909004211426,0.0035820542834699154,0.0005827910063089803,0.6930450846227043,0.4998974974525625,0.5090909004211426,0.004646319895982742,0.0024373330088565126,0.6930368807918569,0.49988931345314536,0.516883134841919,0.0037645334377884865,0.00378491599985864
